,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
20,2018-03-27,Russia,France,1,3,Friendly,St. Petersburg,Russia,False
76,2018-05-30,Austria,Russia,1,0,Friendly,Innsbruck,Austria,False
149,2018-06-05,Russia,Turkey,1,1,Friendly,Moscow,Russia,False
213,2018-06-14,Russia,Saudi Arabia,5,0,FIFA World Cup,Moscow,Russia,False
229,2018-06-19,Russia,Egypt,3,1,FIFA World Cup,St. Petersburg,Russia,False
245,2018-06-25,Russia,Uruguay,0,3,FIFA World Cup,Samara,Russia,False
263,2018-07-01,Russia,Spain,1,1,FIFA World Cup,Moscow,Russia,False
273,2018-07-07,Russia,Croatia,2,2,FIFA World Cup,Sochi,Russia,False
325,2018-09-07,Turkey,Russia,1,2,UEFA Nations League,Trabzon,Turkey,False
386,2018-09-10,Russia,Czech Republic,5,1,Friendly,Rostov-on-Don,Russia,False
425,2018-10-11,Russia,Sweden,0,0,UEFA Nations League,Kaliningrad,Russia,False
481,2018-10-14,Russia,Turkey,2,0,UEFA Nations League,Sochi,Russia,False
564,2018-11-15,Germany,Russia,3,0,Friendly,Leipzig,Germany,False
636,2018-11-20,Sweden,Russia,2,0,UEFA Nations League,Stockholm,Sweden,False
785,2019-03-21,Belgium,Russia,3,1,UEFA Euro qualification,Brussels,Belgium,False
828,2019-03-24,Kazakhstan,Russia,0,4,UEFA Euro qualification,Nursultan,Kazakhstan,False
968,2019-06-08,Russia,San Marino,9,0,UEFA Euro qualification,Saransk,Russia,False
1014,2019-06-11,Russia,Cyprus,1,0,UEFA Euro qualification,Nizhny Novgorod,Russia,False
